aakrand	आक्रन्द् ; आङ्- क्रन्द् ; चु० सेट् उ० (१.३.७४); आङः क्रन्द सातत्ये १०.२५२ ;;
aanch	आञ्च् ; भ्वा० सेट् प० ; आचि आयामे १.२३७ ;;
aap	आप् ; चु० सेट् उ० (१.३.७४); आपॢ (आपॢ)लम्भने १०.३७६ ;;
aap	आप् ; स्वा० अनिट् प० ; आपॢ व्याप्तौ ५.१६ ;;
aas	आस् ; अ० सेट् आ० ; आस उपवेशने २.११ ;;
aasad	आसद् ; आङ्- सद् ; चु० सेट् उ० (१.३.७४); आङः षद पद्यर्थे १०.३६८ ;;
aashaas	आशास् ; आङ्- शास् ; अ० सेट् आ० ; आङः शासु इच्चायाम् २.१२ ;;
aashaMs	आशंस् ; आङ्- शंस् ; भ्वा० सेट् आ० ; आङः शसि इच्चायाम् १.७१६ ;;
abhr	अभ्र् ; भ्वा० सेट् प० ; अभ्र- [गत्यर्थः]१.६३७ ;;
ach	अच् ; भ्वा० सेट् उ० ; अचु [गतौ याचने च]इत्येके १.९९९ ;;
aD	अड् ; भ्वा० सेट् प० ; अड उद्यमे १.४१४ ;;
ad	अद् ; अ० अनिट् प० ; अद भक्षणे २.१ ;;
aDD	अड्ड् ; भ्वा० सेट् प० ; अड्ड (अद्ड)अभियोगे १.४०३ ;;
adD	अद्ड् ; भ्वा० सेट् प० ; अड्ड (अद्ड)अभियोगे १.४०३ ;;
adhii	अधी ; अधि- इ ; अ० अनिट् प० ; इङ् अध्ययने (नित्यमधिपूर्वः)२.४१ ;;
adhii	अधी ; अधि- इ ; अ० अनिट् प० ; इक् स्मरणे (अयमप्यधिपूर्वः)२.४२ ;;
ag	अग् ; भ्वा० सेट् प० ; अग(म्)कुटिलायां गतौ १.९०२ ;;
ah	अह् ; स्वा० सेट् प० ; अह व्याप्तौ ५.२९ ;;
aj	अज् ; भ्वा० सेट् प० ; अज गतिक्षपनयोः १.२६२ ;;
ak	अक् ; भ्वा० सेट् प० ; अक(म्)- [कुटिलायां गतौ]१.९०१ ;;
al	अल् ; भ्वा० सेट् प० (उ०); अल (अल)भूषणपर्याप्तिवारणेषु १.५९३ ;;
am	अम् ; [न]अमि- [मित्]१.९५० ;;
am	अम् ; भ्वा० सेट् प० ; अम गत्यादिषु (गतौ शब्दे सम्भक्तौ च)१.५३६ ;;
am	अम् ; चु० सेट् उ० (१.३.७४); अम रोगे १०.२४५ ;;
amb	अम्ब् ; भ्वा० सेट् आ० ; अबि शब्दे १.४३८ ;;
ambh	अम्भ् ; भ्वा० सेट् आ० ; अभि- [[शब्दे]क्वचित्पठ्यते]१.४४८ ;;
aMh	अंह् ; भ्वा० सेट् आ० ; अहि गतौ १.७२२ ;;
aMh	अंह् ; चु० सेट् उ० (१.३.७४); अहि- [[भाषार्थः]च]१०.३२८ ;;
aMs	अंस (अंस्); चु० सेट् उ० (१.३.७४); अंस समाघाते १०.४६० ;;
aN	अण् ; भ्वा० सेट् प० ; अण- [शब्दार्थः]१.५१२ ;;
aN	अण् ; दि० सेट् आ० ; अण प्राणने ४.७१ ;;
an	अन् ; अ० सेट् प० ; अन च [प्राणने]२.६५ ;;
an	अन् ; दि० सेट् आ० ; अन [प्राणने]इत्येके ४.७२ ;;
anch	अञ्च् ; भ्वा० सेट् उ० ; अचि [गतौ याचने च]इत्येपरे १.१००० ;;
