dhaatva~NkaH	dhaatunaama	saMskRRitabhaaShaarthaH	Meaning	hindii bhaaShaartha	gaNaH (padaH)	dhaatuH	laT (pra eka)	laT (pra bahu)	lRRi (pra eka)	luT (pra eka)	shatranta-shaanajanta	tvaa-pratyaya
1	bhuu	sattaayaam	To be	honaa	bhvaadi (pa)	bhuu	bhavati	bhavanti	bhaviShyati	bhavitaa	bhavat	bhavitvaa
2	paaM	paane	To drink	piinaa	bhvaadi (pa)	paa	pibati	pibanti	paasyati	paataa	pibat	paatvaa
3	ghraaM	gandhopaadaane	To smell	suu.Nghanaa	bhvaadi (pa)	ghraa	jighrati	jighranti	ghraasyati	ghraataa	jighrat	ghraatvaa
4	dhmaaM	shabdaagnisaMyogayoH	To blow	"shabda karanaa, agni prajvalita karane ke liye phuu.Nkanaa"	bhvaadi (pa)	dhmaa	dhamati	dhamanti	dhmaasyati	dhmaataa	dhamat	dhmaatvaa
5	shaM	gatinivRRittau	To stand	ruka jaanaa	bhvaadi (pa)	ShThaa	tiShThati	tiShThanti	sthaasyati	sthaataa	tiShThat	sthaatvaa
6	mnaaM	abhyaase (abhyaasaH paaramparyeNa vRRittiH)	To behave like ancestors	"abhyaasa karanaa, puurvajoM ke anukuula vRRitti rakhanaa"	bhvaadi (pa)	mnaa	manati	mananti	mnaasyati	mnaataa	manat	mnaatvaa
7	daam	daane	To give	denaa	bhvaadi (pa)	daa	yacchhati	yacchhanti	daasyati	daataa	yacchhat	daatvaa
8	jiM	abhibhave	To conquer	jiitanaa	bhvaadi (pa)	ji	jayati	jayanti	jeShyati	jetaa	jayat	jetvaa
9	jriM	abhibhave	To conquer	jiitanaa	bhvaadi (pa)	ji	jayati	jayanti	jeShyati	jetaa	jayat	jetvaa
10	xiM	xaye	To decay	naShTa honaa	bhvaadi (pa)	xi	xayati	xayanti	xeShyati	xetaa	xayat	xetvaa
11	iM (itaH paraM ShaDudantaaH)	gatau	To go	jaanaa	bhvaadi (pa)	i	ayati	ayanti	eShyati	etaa	ayat	etvaa
12	duM	gatau	To go	jaanaa	bhvaadi (pa)	du	davati	davanti	doShyati	dotaa	davat	dotvaa
13	druM	gatau	To go	jaanaa	bhvaadi (pa)	dru	dravati	dravanti	droShyati	drotaa	dravat	drotvaa
14	shuM	gatau	To go	jaanaa	bhvaadi (pa)	shu	shavati	shavanti	shoShyati	shotaa	shavat	shotvaa
15	sruM	gatau	To go	jaanaa	bhvaadi (pa)	sru	sravati	sravanti	sroShyati	srotaa	sravat	srotvaa
16	dhruM	"sthairye ca| cakaaraadgatau, gatyarthaH kuTaadirayamityanye|"	"To be firm, to move"	"sthira honaa, jaanaa"	bhvaadi (pa)	dhru	dhravati	dhravanti	dhroShyati	dhrotaa	dhravat	dhrotvaa
