 भू (सत्तायाम्, भ्वादिगण, परस्मै, लट्) \n भवति भवतः भवन्ति \n भवसि भवथः भवथ \n भवामि भवावः भवामः 
 भू (सत्तायाम्, भ्वादिगण, परस्मै, लोट्) \n भवतु भवताम् भवन्तु \n भव भवतम् भवत \n भवानि भवाव भवाम 
 भू (सत्तायाम्, भ्वादिगण, परस्मै, लङ्) \n अभवत् अभवताम् अभवन् \n अभवः अभवतम् अभवत \n अभवम् अभवाव अभवाम 
 भू (सत्तायाम्, भ्वादिगण, परस्मै, विधिलिङ्) \n भवेत् भवेताम् भवेयुः \n भवेः भवेतम् भवेत \n भवेयम् भवेव भवेम 
 भू (सत्तायाम्, भ्वादिगण, परस्मै, लिट्) \n बभूव बभूवतुः बभूवुः \n बभूविथ बभुवथुः बभूव \n बभूव बभुविव बभूविम 
 भू (सत्तायाम्, भ्वादिगण, परस्मै, लुट्) \n भविता भवितारौ भवितारः \n भवितासि भवितास्थः भवितास्थ \n भवितास्मि भवितास्वः भवितास्मः 
 भू (सत्तायाम्, भ्वादिगण, परस्मै, ऌट्) \n भविष्यति भविष्यतः भविष्यन्ति \n भविष्यसि भविष्यथः भविष्यथ \n भविष्यामि भविष्यावः भविष्यामः 
 भू (सत्तायाम्, भ्वादिगण, परस्मै, आशीर्लिङ्) \n भूयात् भूयास्ताम् भूयासुः \n भूयाः भूयास्तम् भूयास्त \n भूयासम् भूयास्व भूयास्म 
 भू (सत्तायाम्, भ्वादिगण, परस्मै, लुङ्) \n अभूत् अभूताम् अभूवन् \n अभूः अभूतम् अभूत \n अभूवम् अभूव अभूम 
 भू (सत्तायाम्, भ्वादिगण, परस्मै, ॡङ्) \n अभविष्यत् अभविष्यताम् अभविष्यन् \n अभविष्यः अभविष्यतम् अभविष्यत \n अभविष्यम् अभविष्याव अभविष्याम 
 एध (वृद्धौ, भ्वादिगण, आत्मने, लट्) \n एधते एधेते एधन्ते \n एधसे एधेथे एधध्वे \n एधे एधावहे एधामहे 
 एध (वृद्धौ, भ्वादिगण, आत्मने, लोट्) \n एधताम् एधेताम् एधन्ताम् \n एधस्व एधेथाम् एधध्वम् \n एधै एधावहै एधामहै 
 एध (वृद्धौ, भ्वादिगण, आत्मने, लङ्) \n ऐधत ऐधेताम् ऐधन्त \n ऐधथाः ऐधेथाम् ऐधध्वम् \n ऐधे ऐधावहि ऐधामहि 
 एध (वृद्धौ, भ्वादिगण, आत्मने, विधिलिङ्) \n एधेत एधेयाताम् एधेरन् \n एधेथाः एधेयाथाम् एधेयध्वम् \n एधेय एधेवहि एधेमहि 
 एध (वृद्धौ, भ्वादिगण, आत्मने, लिट्) \n एधाञ्चक्रे एधाञ्चक्राते एधाञ्चक्रिरे \n एधाञ्चकृषे एधाञ्चक्राथे एधाञ्चक्रृढ्वे \n एधाञ्चक्रे एधाञ्चक्रृवहे एधाञ्चक्रृमहे 
 एध (वृद्धौ, भ्वादिगण, आत्मने, लुट्) \n एधिता एधितारौ एधितारः \n एधितासे एधितासाथे एधिताध्वे \n एधिताहे एधितास्वहे एधितास्महे 
 एध (वृद्धौ, भ्वादिगण, आत्मने, ऌट्) \n एधिष्यते एधिष्येते एधिष्यन्ते \n एधिष्यसे एधिष्येथे एधिष्यध्वे \n एधिष्ये एधिष्यावहे एधिष्यामहे 
 एध (वृद्धौ, भ्वादिगण, आत्मने, आशीर्लिङ्) \n एधिषीष्ट एधिषीयास्ताम् एधिषीरन् \n एधिषीष्ठाः एधिषीयास्थाम् एधिषीध्वम् \n एधिषीय एधिषीवहि एधिषीमहि 
 एध (वृद्धौ, भ्वादिगण, आत्मने, लुङ्) \n ऐधिष्ट एधिषाताम् ऐधिषत \n ऐधिष्ठाः ऐधिषाथाम् ऐधिध्वम् \n ऐधिषि ऐधिष्वहि ऐधिष्महि 
 एध (वृद्धौ, भ्वादिगण, आत्मने, ॡङ्) \n ऐधिष्यत ऐधिष्येताम् ऐधिष्यन्त \n ऐधिष्यथाः ऐधिष्येथाम् ऐधिष्यध्वम् \n ऐधिष्ये ऐधिष्यावहि ऐधिष्यामहि 
 स्पर्ध (सङ्घर्षे, भ्वादिगण, आत्मने, लट्) \n स्पर्धते स्पर्धेते स्पर्धन्ते \n स्पर्धसे स्पर्धेथे स्पर्धध्वे \n स्पर्धे स्पर्धावहे स्पर्धामहे 
 स्पर्ध (सङ्घर्षे, भ्वादिगण, आत्मने, लोट्) \n स्पर्धताम् स्पर्धेताम् स्पर्धन्ताम् \n स्पर्धस्व स्पर्धेथाम् स्पर्धध्वम् \n स्पर्धै स्पर्धावहै स्पर्धामहै 
 स्पर्ध (सङ्घर्षे, भ्वादिगण, आत्मने, लङ्) \n अस्पर्धत अस्पर्धेताम् अस्पर्धन्त \n अस्पर्धथाः अस्पर्धेथाम् अस्पर्धध्वम् \n अस्पर्धे अस्पर्धावहि अस्पर्धामहि 
 स्पर्ध (सङ्घर्षे, भ्वादिगण, आत्मने, विधिलिङ्) \n स्पर्धेत स्पर्धेयाताम् स्पर्धेरन् \n स्पर्धेथाः स्पर्धेयाथाम् स्पर्धेध्वम् \n स्पर्धेय स्पर्धेवहि स्पर्धेमहि 
 स्पर्ध (सङ्घर्षे, भ्वादिगण, आत्मने, लिट्) \n पस्पर्धे पस्पर्धाते पस्पर्धिरे \n पस्पर्धिषे पस्पर्धाथे पस्पर्धिध्वे \n पस्पर्धे पस्पर्धिवहे पस्पर्धिमहे 
 स्पर्ध (सङ्घर्षे, भ्वादिगण, आत्मने, लुट्) \n स्पर्धिता स्पर्धितारौ स्पर्धितारः \n स्पर्धितासे स्पर्धितासाथे स्पर्धिताध्वे \n स्पर्धिताहे स्पर्धितास्वहे स्पर्धितास्महे 
 स्पर्ध (सङ्घर्षे, भ्वादिगण, आत्मने, ऌट्) \n स्पर्धिष्यते स्पर्धिष्येते स्पर्धिष्यन्ते \n स्पर्धिष्यसे स्पर्धिष्येथे स्पर्धिष्यध्वे \n स्पर्धिष्ये स्पर्धिष्यावहे स्पर्धिष्यामहे 
 स्पर्ध (सङ्घर्षे, भ्वादिगण, आत्मने, आशीर्लिङ्) \n स्पर्धिषीष्ट स्पर्धिषीयास्ताम् स्पर्धिषीरन् \n स्पर्धिषीष्ठाः स्पर्धिषीयास्थाम् स्पर्धिषीध्वम् \n स्पर्धिषीय स्पर्धिषीवहि स्पर्धिषीमहि 
 स्पर्ध (सङ्घर्षे, भ्वादिगण, आत्मने, लुङ्) \n अस्पर्धिष्ट अस्पर्धिषाताम् अस्पर्धिषत \n अस्पर्धिष्ठाः अस्पर्धिषाथाम् अस्पर्धिध्वम् \n अस्पर्धिषि अस्पर्धिष्वहि अस्पर्धिष्महि 
 स्पर्ध (सङ्घर्षे, भ्वादिगण, आत्मने, ॡङ्) \n अस्पर्धिष्यत अस्पर्धिष्येताम् अस्पर्धिष्यन्त \n अस्पर्धिष्यथाः अस्पर्धिष्येथाम् अस्पर्धिष्यध्वम् \n अस्पर्धिष्ये अस्पर्धिष्यावहि अस्पर्धिष्यामहि 
 गाधृ (प्रतिष्ठालिप्सयोर्ग्रन्थे च, भ्वादिगण, आत्मने, लट्) \n गाधते गाधेते गाधन्ते \n गाधसे गाधेथे गाधध्वे \n गाधे गाधावहे गाधामहे 
 गाधृ (प्रतिष्ठालिप्सयोर्ग्रन्थे च, भ्वादिगण, आत्मने, लोट्) \n गाधताम् गाधेताम् गाधन्ताम् \n गाधस्व गाधेथाम् गाधध्वम् \n गाधै गाधावहै गाधामहै 
 गाधृ (प्रतिष्ठालिप्सयोर्ग्रन्थे च, भ्वादिगण, आत्मने, लङ्) \n अगाधत अगाधेताम् अगाधन्त \n अगाधथाः अगाधेथाम् अगाधध्वम् \n अगाधे अगाधावहि अगाधामहि 
 गाधृ (प्रतिष्ठालिप्सयोर्ग्रन्थे च, भ्वादिगण, आत्मने, विधिलिङ्) \n गाधेत गाधेयाताम् गाधेरन् \n गाधेथाः गाधेयाथाम् गाधेध्वम् \n गाधेय गाधेवहि गाधेमहि 
 गाधृ (प्रतिष्ठालिप्सयोर्ग्रन्थे च, भ्वादिगण, आत्मने, लिट्) \n जगाधे जगाधाते जगाधिरे \n जगाधिषे जगाधाथे जगाधिध्वे \n जगाधे जगाधिवहे जगाधिमहे 
 गाधृ (प्रतिष्ठालिप्सयोर्ग्रन्थे च, भ्वादिगण, आत्मने, लुट्) \n गाधिता गाधितारौ गाधितारः \n गाधितासे गाधितासाथे गाधिताध्वे \n गाधिताहे गाधितास्वहे गाधितास्महे 
 गाधृ (प्रतिष्ठालिप्सयोर्ग्रन्थे च, भ्वादिगण, आत्मने, ऌट्) \n गाधिष्यते गाधिष्येते गाधिष्यन्ते \n गाधिष्यसे गाधिष्येथे गाधिष्यध्वे \n गाधिष्ये गाधिष्यावहे गाधिष्यामहे 
