अंकुशा	--a S4akti on the Dra1vin2ika1 mudra1. Br. IV. 36. 76.
अंकुशेश्वरम्	--in the Narmada1. M. 194. 1.
अंकोल	--a ti1rtha, and its merits. M. 191. 118-25.
अंचोलद्विचराः(च्)	--a kingdom watered by the R. Si1ta1. Br. II. 18, 45.
अकपि	--a sage of the Ta1masa epoch. M. 9. 15.
अकम्पन	--a son of Khas4a1 and a Ra1ks2asa: <F>1:  Br. III. 7, 136; Va1. 69, 167.</F> an Asura in the सभा of Hiran2yakas4ipu. <F>2:  M. 161. 81.</F>
अकर्ण	--a ka1draveya na1ga. Br. III. 7. 33.
अकर्मक(इ)	--a class of Pis4a1cas. Br. III. 7. 379.
अकल्मष	--a son of Ta1masa Manu. M. 9. 17.
अकार	--its significance in ओं; <F>1:  Va1. 20. 8ff.</F> the source of 63 varn2as; <F>2:  Va1. 26. 28.</F> the primordial स्वर and its place in creation. <F>3:  Va1. 26. 29ff.</F> [Page1-002+ 31]
अकारादिक्षकारान्तवर्णमूर्ति	--the house of, to the north of Ma1tr2ka1. Br. IV. 36. 20.
अकृतचूड	--one who has not had tonsure: his death leaves pollution for one night; pollution after चूड is for three nights. M. 18. 3.
अकृतव्रण	 (I)--a Bra1hman invited for the Ra1jasu1ya of Yudhis2t2hira to officiate as a priest. Bha1., X. 74. 9.
अकृतव्रण	 (II)--a Paura1n2ika. Learnt one of the four Mu1lasamhitas from the disciple of Vya1sa; <F>1:  Bha1., XII. 7. 5, 7.</F> a pupil of Roma- hars2an2a; otherwise known as Ka1s4yapa. <F>2:  Vi. III. 6. 17.</F>
अकृतव्रण	 (III)--a sage. Br. II. 35. 63.
अकृतव्रण	 (IV)--the Brahman boy rescued by Paras4u- ra1ma, his guru, from the jaws of a tiger. <F>1:  Br. III. 26. 3; 30. 21; 34, 8, 29; 35. 37.</F> Advised to take courage and console his mother; condoled with him on the loss of his parents. <F>2:  Br. III. 37. 10; 38, 2, 35; 39. 13; 41. 15, 17; 43, 31; 44. 1, 30.</F> Accompanied Paras4ura1ma, to Mandira for a twelve years' penance and to Mahendra for another course of austerities. Helped Paras4ura1ma in his As4vamedha and the penance after. <F>3:  Br. III. 46. 3, 28; 47. 34, 59.</F>
अकृताश्व	--a son of Samhata1s4va. Br. III. 63. 65; M. 12, 34. [Page1-003+ 46]
अक्रिय	--the son of Gambhi1ra. Of his wife was born Brahman. Bha1. IX. 17. 10.
