अ	वर्णमालायां आद्यः वर्णः ह्रस्वः। अस्य उच्चारणस्थानं कण्ठः। ‘अकुह विसर्जनीयानां कण्ठः’ सि०कौ०१०। सः त्रिधा उदात्तः, अनुदात्तः, स्वरितश्च । पुनः प्रत्येकं द्विधा अनुनासिकः, अननुनासिकश्च । एवं षड्विधः ।
अः	(पुं) १.अवति रक्षति । अव(रक्षणे)+डः। अतति सातत्येन तिष्ठति । अत(सातत्यगमने)+डः। १.विष्णुः। २.शिवः। ३.ब्रह्मा । ४.कमठः। ५.अङ्गणम् । ६.युद्धम्,रणम् । ७.गौरवम् । ८.अन्तःपुरम् । ९.कारणम्,हेतुः। १०.भूषणम्,आभरणम् । ११.अङ्घ्रिः,पादः। १२.उमा,पार्वती । १३.इज्या,यागः। ‘अकारो ब्रह्मविष्ण्वीशकमठेष्वङ्गणे रणे । गौरवेऽन्तःपुरे हेतौ भूषणेऽङ्घ्रावुमेज्ययोः’ नानार्थर०। १४.सुखम् । १५.ज्ञानम् । १६.अरातिः,शत्रुः। १७.गिरिः,पर्वतः। १८.भूमिः। १९.द्रुमः,वृक्षः। २०.अलिः,भ्रमरः। २१.मृगः,हरिणः। २२.सिंहः। २३.वराहः। २४.ऋक्षः,भल्लूकः। २५.तरक्षुः। २६.गवयः। २७.कृत्प्रत्ययभेदः। २८.परब्रह्म । (न) अतति सर्वं व्याप्नोति । ‘सुखज्ञानमुमारातिगिरिभूमिद्रुमालिषु । मृगसिंहवराहर्क्षतरक्षुगवयेष्वपि’ रत्न०। (अ)  २९.अभावः। ३०.स्वल्पम्,ई्षत् । ३१.प्रतिषेधः। ३२.अनुकम्पा,दया । ‘अशब्दः स्यादभावेऽपि स्वल्पार्थप्रतिषेधयोः। अनुकम्पायां च तथा वासुदेवे त्वनव्ययः’ मेदिनी । नञः अयम् अकारः षड्विधान् नञर्थान् बोधयति । १.सादृश्यम् । अब्राह्मणः ब्राह्मणसदृशः। २.अभावः। अभोजनं भोजनाभावः। ३.अन्यत्वम् । अनश्वः अश्वभिन्नः ४.अल्पम्,ई्षत् । अनुदरा कन्या अल्पोदरा । ५.अप्राशस्त्यम् । अधनं चर्मधनम् अप्रशस्तधनम् । ६.विरोधः। अधर्मः धर्मविरोधी परापकारः। ‘तत्सादृश्यमभावश्च तदन्यत्वं तदल्पता । अप्राशस्त्यं विरोधश्च नञर्थाः षट् प्रकीर्तिताः’ ।      <br><br>  कृदन्तशब्दैः साकं सामान्यतः नञर्थं बोधयति । यथा- अदग्ध्वा, अपश्यन् ।   विस्मयादिद्योतकम् अव्ययम् यथा (क) ‘अ अवद्यम्’ अत्र दया । (ख) ‘अ पचसि त्वं जाल्म’ अत्र भर्त्सना,निन्दा । (ग) सम्बोधनेऽपि प्रयुज्यते । ‘अ अनन्त’ । (घ) निषेधात्मकम् अव्ययम् अपि भवति ।
अऋणी	(वि) (अऋणिन्) । न ऋणी । ऋकारस्य अत्र व्यञ्जनत्वाभ्युपगमात् न नुट् । नलोपमात्रम् । अधारी,ऋणशून्यः। ‘दिवसस्याष्टमे भागे शाकं पचति यो नरः। अऋणी चाप्रवासी च स वारिचर मोदते’ महाभा०।
अंशः 	(पुं) अंश्यते । अंश(विभाजने)+घञ्(कर्मणि) । ‘अकर्तरि च कारके संज्ञायाम्’ ३.३.१९। १.विभाजनम्,विभागः। ‘सकृदंशो निपतति’ मनुः९.४७। २.वस्तुनः एकदेशः। ‘अंशो विभाजने प्रोक्तः एकदेशोऽपि वस्तुनः’ हैमः। ‘षष्ठांशवृत्तेरपि धर्म एषः’ शाकु०५.४।  ३.अवयवः,शारीरस्य भागः। ‘अंशस्त्ववयवो भागः’ वैज०। ‘ममैवांशो जीवलोके जीवभूतः’ गीता १५.७। ४.कर्मणि अच् । विभाज्यः। ‘द्वावंशौ प्रतिपद्येते विभजन्नात्मनः पिता’ स्मृतिः। ५.सङ्ख्यासूचकाङ्कविभाज्यः। ‘अन्योन्यहाराभिहतौ हरांशौ’ लीला०। ६.वृत्तस्य राशिचक्रस्य च षष्ट्युत्तरशतत्रयधा विभाजकः भागः। ‘अक्षस्यांशाः समाख्याताः षष्ट्युत्तरशतत्रयम्’ -ज्यो०। ७.दायभागः। ‘यदि कुर्यात् समानंशान् पत्न्यः कार्याः समांशिकाः’ याज्ञ०२.११५।   
अंशकः	(पुं) अंश+ कन् । ‘संज्ञायां कन्’ ५.३.७५। १.भागः। ‘त्रिंशांशकस्तथा राशेर्भागः’ -ज्यो०। २.अंशं हारी हरति । अंश+ कन् । ‘अंशं हारी’ ५.२.६९। दायादः,ज्ञातिः। ‘स्यादथांशकः सगन्धज्ञातिदायादाः’ त्रिका०। ३.अल्पार्थे क:। ‘अल्पे’ ५.३.८५। अल्पांशः। (वि) अंश(विभाजने)+ण्वुल् । ‘णुल्तृचौ’ ३.१.१३३। ४.विभाजकः। (स्त्री) अंशिका । (न) अंशकम् । ५.सौरदिनम् । ‘वास्रो व्युष्टांशके दिनम्’ त्रिका०। 
अंशनम्	(न) अंश(विभाजने)+ल्युट् । ’ल्युट्च’ ३.३.११५। विभाजनम्,विभागक्रिया ।
अंशभाक्	(वि) (अंशभाज्) । अंशं भजते । अंश+भज(सेवायाम्)+ण्विः। १.उत्तराधिकारी,दायादः। ‘ भजो ण्विः’ ३.२.७२। ‘प्रातरुत्थाय कुर्वीरन् देवर्षिपितृतर्पणम् । निरुद्धासु न कुर्वीरन्नंशभाक् तत्र सेतुकृत्’ बोधा०प्राय०।
अंशयिता	(वि) (अंशयितृ) । अंश(विभाजने)+णिच्+तृच् । ‘ण्वुल्तृचौ’ ३.१.१३३। विभाजकः। (स्त्री) अंशयित्री । अंशयितृ+ङीप् । ‘ऋन्नेभ्यो डीप्’ ४.१.५।
अंशलः	(वि) अंशं लाति । अंश+ ला(आदाने)+कः। ‘आतो० कः’ ३.२.३। १.भागग्राही,अंशग्राहकः। २.प्रशस्तः अंशः अस्ति अस्य । अंश+लच्(मतुबर्थे) । बलवान् । 
अंशसवर्णनम्	(न) समानः वर्णः। सवर्णः। सवर्ण+णिच्(करणार्थे)+ल्युट्(भावे) । सवर्णनम् । अंशयोः सवर्णनम् । अतुल्यच्छेदयोः अंशयोः समच्छेदकरणम् -गणितम् । 
अंशस्वरः	(पुं) मुख्यस्वरः,मूलस्वरः।
अंशहरः 	(वि) अंशं हरति । अंश+हृञ्(हरणे)+अच् । ‘हरतेरनुद्यमनेऽच्’ ३.२.९। दायभागी । ’पिण्डदोऽशंहरश्चैषां पूर्वाभावे परः परः’ याज्ञ०२.१३२।
