नाम	अक्षराणि	विषमे-स्वराः	विषमयोर् मात्राः	समे-सङ्ख्या	समयोर् मात्राः	प्रसिद्धिः	पादयोर् आदिसाम्यम्	पादयोः अन्त्यसाम्यम्	जातिः	जातिः २	लक्षणम्	लक्षणमूलम्	उदाहरणम्	मुख्यांशः
फ़ाइलातुन्		8	दा द दा दा-- दा द दा दा	7	दा द दा दा-- दा द दा		दा द दा दा-- दा द दा				फ़ाइलातुन् फ़ाइलातुन् फ़ाइलातुन् फ़ाइलुन्		प्रेमपुर्यां जातु नैजं नैव वासं कारयेत् कारितं चेद्हानिदुःखान्यन्तरे नो धारयेत्	"फ़ाइलातुन् फ़ाइलातुन् फ़ाइलातुन् फ़ाइलातुन् " इति छन्दसो विकृतिः प्रसिद्धतरा।
वैसारी	38	9	दा दा द द दा द दा द दा	10	दा दा दा द द दा द दा द दा		दा दा	दा दा द द दा द दा द दा						
वासववन्दिता	38	10	दा दा दा द द दा द दा द दा	9	दा दा द द दा द दा द दा		दा दा	दा दा द द दा द दा द दा						
अतैलम्	40	10	द दा द दा दा द दा दा द दा	10	दा दा द दा दा द दा दा द दा			दा द दा दा द दा दा द दा						
आलोलघटिका	40	10	द द दा द द दा द दा द दा	10	दा दा द द द दा द दा द दा			द द दा द दा द दा						
घटिका	40	10	दा दा द द द दा द दा द दा	10	द द दा द द दा द दा द दा			द द दा द दा द दा						
प्रभासिता	40	10	दा दा दा द द दा द दा द दा	10	द द दा द द दा द दा द दा			दा द द दा द दा द दा						
प्रभासिता	40	10	द द दा द द दा द दा द दा	10	दा दा दा द द दा द दा द दा			दा द द दा द दा द दा						
विश्वप्रमा	40	10	दा दा द दा दा द दा दा द दा	10	द दा द दा दा द दा दा द दा			दा द दा दा द दा दा द दा						
करधा	42	10	दा दा दा द द दा द दा द दा	11	द द द द द द दा द दा द दा			द द दा द दा द दा						
केतुमती	42	10	द द दा द दा द द द दा दा	11	दा द द दा द दा द द द दा दा	२		द द दा द दा द द द दा दा				वृत्तरत्नाकरः		
भद्रविराट्	42	10	दा दा द द दा द दा द दा दा	11	दा दा दा द द दा द दा द दा दा		दा दा	दा दा द द दा द दा द दा दा		औपछान्दसिकम्।	भद्रविराट् त्जौर्गौम्सौज्गौग् । 	वृत्तरत्नाकरः		
वेगवती	42	10	द द दा द द दा द द दा दा	11	दा द द दा द द दा द द दा दा			द द दा द द दा द द दा दा				वृत्तरत्नाकरः		
समुद्रकान्ता	42	10	दा दा द द दा द दा द दा दा	11	दा दा दा द द दा द दा द दा दा		दा दा	दा दा द द दा द दा द दा दा		औपछान्दसिकम्।				
सुधा	42	10	दा दा दा द द दा द दा द दा	11	द द दा दा द द दा द दा द दा			दा दा द द दा द दा द दा						
वियोगिनी| सुन्दरी [वैतालीयम्]	42	10	द द दा द द दा द दा द दा	11	द द दा दा द द दा द दा द दा	५	द द दा	दा द द दा द दा द दा		वैतालीयम्।			sahasā vidadhīta na kriyām  avivekaḥ param āpadāṃ padam / vṛṇate hi vimṛśyakāriṇo guṇalabdhāḥ svayam eva sampadaḥ
असुधा	42	11	द द दा दा द द दा द दा द दा	10	दा दा दा द द दा द दा द दा			दा दा द द दा द दा द दा						
कान्ता	42	11	दा दा दा द द दा द दा द दा दा	10	दा दा द द दा द दा द दा दा		दा दा	दा दा द द दा द दा द दा दा		औपछान्दसिकम्।				
केतुः	42	11	दा द द दा द दा द द द दा दा	10	द द दा द दा द द द दा दा			द द दा द दा द द द दा दा						
युद्धविराट्	42	11	दा दा दा द द दा द दा द दा दा	10	दा दा द द दा द दा द दा दा		दा दा	दा दा द द दा द दा द दा दा		औपछान्दसिकम्।				
