नाम	स्वराः	वृत्तरत्नाकरोक्तिः	१-पादे स्वराः	१-पादे मात्राः	२-पादे स्वराः	२-पादे मात्राः	३-पादे स्वराः	३-पादे मात्राः	४-पादे स्वराः	४-पादे मात्राः	जातिः	लक्षणमूलम्	उदाहरणम्	उच्चारणम्
पदचतुरूर्ध्व	56	१	8	........	12	............	16	................	20	....................		वृत्तरत्नाकरः		
आपीडम्	56	१	8	द द द द द द दा दा	12	द द द द द द द द द द दा दा	16	द द द द द द द द द द द द द द दा दा	20	द द द द द द द द द द द द द द द द द द दा दा	द द द द द द दा दा	वृत्तरत्नाकरः		
कलिका	56	१	12	द द द द द द द द द द दा दा	8	द द द द द द दा दा	16	द द द द द द द द द द द द द दा दा	20	द द द द द द द द द द द द द द द द द द दा दा	द द द द द द दा दा	वृत्तरत्नाकरः		
लवली	52	१	8	द द द द द द द द द द दा दा	16	द द द द द द द द द द द द द द दा दा	8	द द द द द द दा दा	20	द द द द द द द द द द द द द द द द द द दा दा	द द द द द द दा दा	वृत्तरत्नाकरः		
अमृतधारा	52	१	8	द द द द द द द द द द दा दा	16	द द द द द द द द द द द द द द दा दा	20	द द द द द द द द द द द द द द द द द द दा दा	8	द द द द द द दा दा	द द द द द द दा दा	वृत्तरत्नाकरः		
सौरभकम्	43	१	10	द द दा द दा द द द दा द	10	द द द द द दा द दा द दा	10	दा द दा द द द दा द द दा	13	द द दा द दा द द द दा द दा द दा		वृत्तरत्नाकरः		
उद्गता	44	१	10	द द दा द दा द द द दा द	10	द द द द द दा द दा द दा	11	दा द द द द द द दा द द दा	13	द द दा द दा द द द दा द दा द दा		वृत्तरत्नाकरः		
आर्द्रा	44		11	द दा द दा दा द द दा द दा दा	11	दा दा द दा दा द द दा द दा दा	11	दा दा द दा दा द द दा द दा दा	11	द दा द दा दा द द दा द दा दा	त्रिष्टुभः उपजातिः। ? दा द दा दा द द दा द दा दा।			
माया	44		11	द दा द दा दा द द दा द दा दा	11	द दा द दा दा द द दा द दा दा	11	द दा द दा दा द द दा द दा दा	11	दा दा द दा दा द द दा द दा दा	त्रिष्टुभः उपजातिः। ? दा द दा दा द द दा द दा दा।			
माला	44		11	द दा द दा दा द द दा द दा दा	11	द दा द दा दा द द दा द दा दा	11	दा दा द दा दा द द दा द दा दा	11	दा दा द दा दा द द दा द दा दा	त्रिष्टुभः उपजातिः। ? दा द दा दा द द दा द दा दा।			
शाला	44		11	दा दा द दा दा द द दा द दा दा	11	दा दा द दा दा द द दा द दा दा	11	द दा द दा दा द द दा द दा दा	11	दा दा द दा दा द द दा द दा दा	त्रिष्टुभः उपजातिः। ? दा द दा दा द द दा द दा दा।			
वाणी	44		11	दा दा द दा दा द द दा द दा दा	11	द दा द दा दा द द दा द दा दा	11	दा दा द दा दा द द दा द दा दा	11	दा दा द दा दा द द दा द दा दा	त्रिष्टुभः उपजातिः। ? दा द दा दा द द दा द दा दा।			
बुद्धिः	44		11	दा दा द दा दा द द दा द दा दा	11	द दा द दा दा द द दा द दा दा	11	द दा द दा दा द द दा द दा दा	11	द दा द दा दा द द दा द दा दा	त्रिष्टुभः उपजातिः। ? दा द दा दा द द दा द दा दा।			
रामा	44		11	दा दा द दा दा द द दा द दा दा	11	दा दा द दा दा द द दा द दा दा	11	द दा द दा दा द द दा द दा दा	11	द दा द दा दा द द दा द दा दा	त्रिष्टुभः उपजातिः। ? दा द दा दा द द दा द दा दा।			
