1.1.001|1.1.001 वृद्धिरादैच्	आ, ऐ and औ are called वृद्धि।<br><br>Terms: वृद्धि
1.1.002|1.1.002 अदेङ् गुणः	अ, ए and ओ are called गुण।<br><br>Terms: गुण
1.1.003|1.1.003 इको गुणवृद्धी	In the absence of any special role whenever गुण or वृद्धि is enjoined about any expression by using the terms गुण or वृद्धि, it is to be understood to come in the room of the इक् (इ, उ, ऋ, लृ) of that expression.<br><br>Terms: गुण-वृद्धि
1.1.004|1.1.004 न धातुलोप आर्धधातुके	The गुण and वृद्धि substitutions which otherwise would have presented themselves do not take place, when such an आर्धधातुक 3.4.114 affix follows, which causes a portion of the root to be elided.<br><br>Terms: गुण-वृद्धि
1.1.005|1.1.005 क्क्ङिति च	And that, which otherwise would have caused गुण or वृद्धि, does not do so, when it has an indicatory क् , ग् , ङ्।<br><br>Terms: गुण-वृद्धि
1.1.006|1.1.006 दीधीवेवीटाम्	The गुण and वृद्धि substitutions which otherwise would have presented themselves do not however come, in the place of the vowels of दिधि 'to shine' and वेवि 'to go', and of the augment called इट् ।<br><br>Terms: गुण-वृद्धि
1.1.007|1.1.007 हलोऽनन्तराः संयोगः	Consonants unseparated by a vowel are called conjunct consonants.<br><br>Terms: 
1.1.008|1.1.008 मुखनासिकावचनोऽनुनासिकः	That which is pronounced by the nose along with the mouth is called अनुनासिक or nasal.<br><br>Terms: 
1.1.009|1.1.009 तुल्यास्यप्रयत्नं सवर्णम्	Those whose place of utterance and effort are equal are called सवर्ण or homogeneous letters.<br><br>Terms: 
1.1.010|1.1.010 नाज्झलौ	There is however no homogeneity between vowels and consonants, though their place and effort be equal.<br><br>Terms: 
1.1.011|1.1.011 ईदूदेद्द्विवचनं प्रगृह्यम्	A dual case affix ending in ई or ऊ or ए is called प्रगृह्य , or excepted vowels which do not admit सन्धि or conjugation.<br><br>Terms: 
1.1.012|1.1.012 अदसो मात्	The same letters after the म् of the pronoun अदस् are प्रगृह्य।<br><br>Terms: 
1.1.013|1.1.013 शे	The affix शे (the Vedic substitute of the case-affixes) is a प्रगृह्य।<br><br>Terms: 
1.1.014|1.1.014 निपात एकाजनाङ्	A particle 1.4.56 consisting of a single vowel, with the exception of the particle आङ् is प्रगृह्य।<br><br>Terms: 
1.1.015|1.1.015 ओत्	The final ओ of a particle is a प्रगृह्य।<br><br>Terms: 
1.1.016|1.1.016 सम्बुद्धौ शाकल्यस्येतावनार्षे	The final ओ of a vocative singular 2.3.49 before the word इति according to शाकल्य , in a secular or non-vedic literature is a प्रगृह्य।<br><br>Terms: 
1.1.017|1.1.017 उञः	The particle ऊञ् before इति , according to शाकल्य is a प्रगृह्य।<br><br>Terms: 
1.1.018|1.1.018 ऊँ	The particle ऊँ replaces उञ in non-vedic literature and it is a प्रगृह्य in the opinion of शाकल्य।<br><br>Terms: 
1.1.019|1.1.019 ईदूतौ च सप्तम्यर्थे	The final ई and ऊ of words giving the sense of the locative case are प्रगृह्य।<br><br>Terms: 
1.1.020|1.1.020 दाधा घ्वदाप्	The words having the form of दा 'to give' and धा 'to place' are called घु।<br><br>Terms: घु-संज्ञा
1.1.021|1.1.021 आद्यन्तवदेकस्मिन्	An operation should be performed on a single letter, as upon an initial or upon a final.<br><br>Terms: 
1.1.022|1.1.022 तरप्तमपौ घः	The affixes तरप् and तमप् ae called घ।<br><br>Terms: घ-संज्ञा
1.1.023|1.1.023 बहुगणवतुडति संख्या	The words बहु 'many' , गण 'class' and the words ending in the affix वतु -- यद्तदेतेभ्यः परिमाणे वतुप्‌ 5.2.39 and डति -- किमः संख्यापरिमाणे डति च 5.2.41 are called numerals (संख्या).<br><br>Terms: संख्या
1.1.024|1.1.024 ष्णान्ता षट्	The संख्या-s having ष or न as their final are called षट्।<br><br>Terms: संख्या
1.1.025|1.1.025 डति च	And the संख्या-s ending with the affix डति are called षट्।<br><br>Terms: संख्या
1.1.026|1.1.026 क्तक्तवतू निष्ठा	The affixes क्त and क्तवतु are called निष्ठा।<br><br>Terms: निष्ठा
1.1.027|1.1.027 सर्वादीनि सर्वनामानि	The words सर्व 'all' and the rest are called सर्वनाम or pronouns.<br><br>Terms: सर्वनाम
1.1.028|1.1.028 विभाषा दिक्समासे बहुव्रीहौ	The above words are optionally सर्वनाम when they occur in a बहुव्रीही compound signifying direction -- दिङ्नामान्यन्तराले 2.2.26.<br><br>Terms: समास-बहुव्रीही
1.1.029|1.1.029 न बहुव्रीहौ	The words सर्व etc. are not सर्वनाम when they occur in a बहुव्रीही compound.<br><br>Terms: सर्वनाम
1.1.030|1.1.030 तृतीयासमासे	In the Instrumental Determinative Compounds the words सर्व etc. are not सर्वनाम।<br><br>Terms: सर्वनाम
1.1.031|1.1.031 द्वन्द्वे च	And in Collective Compound -- दिङ्नामान्यन्तराले 2.2.26, the words सर्व etc. are not सर्वनाम।<br><br>Terms: सर्वनाम
1.1.032|1.1.032 विभाषा जसि	Their द्वन्द compounds are optionally सर्वनाम when the nominative plural termination जस् follows.<br><br>Terms: समास-द्वन्द
1.1.033|1.1.033 प्रथमचरमतयाल्पार्धकतिपयनेमाश्च	And also the words प्रथम 'first', चर्म 'last', words with the affix तय -- संख्याया अवयवे तयप्‌ 5.2.42, अल्प 'few', अर्ध 'half', कतिपय 'some' and नेम 'half' are optionally सर्वनाम , before the Nominative Plural termination.<br><br>Terms: विभक्ति
1.1.034|1.1.034 पूर्वपरावरदक्षिणोत्तरापराधराणि	The words पूर्व 'prior', पर 'after', अवर 'posterior', दक्षिण 'south', उत्तर 'north', अपर 'other', अधर 'inferior', when they discriminate relative position, not when they are appellatives, are optionally सर्वनाम before the affix जस्।<br><br>Terms: सर्वनाम
1.1.035|1.1.035 स्वमज्ञातिधनाख्यायाम्	The word स्व 'own', when it does not mean a kinsman or property is optionally सर्वनाम before the affix जस्।<br><br>Terms: सर्वनाम
1.1.036|1.1.036 अन्तरं बहिर्योगोपसंव्यानयोः	The word अन्तर always being a सर्वनाम , when meaning 'outer' or 'lower garment', is optionally so before the affix जस्।<br><br>Terms: सर्वनाम
1.1.037|1.1.037 स्वरादिनिपातमव्ययम्	The words स्वर् 'heaven' etc. and the particles -- निपात एकाजनाङ् 1.4.56, are called अव्यय or indeclinables.<br><br>Terms: अव्यय
1.1.038|1.1.038 तद्धितश्चासर्वविभक्तिः	And the words ending in तद्धित or secondary affixes -- तद्धिताः 4.1.76, which are not declined in all the cases are also अव्यय or indeclinables.<br><br>Terms: अव्यय
1.1.039|1.1.039 कृन्मेजन्तः	The words formed by those कृत् or primary affixes -- कृदतिङ् 3.1.93, which end with a म् or in a ए , ओ , ऐ and औ are also अव्यय or indeclinables.<br><br>Terms: अव्यय
