धातुः	सङ्ख्या	अर्थः	गणादिः	सेट्त्वम्	सकर्मकता	पदप्रकारः	धातुसादृश्यम्	क्त्वान्ताः	तुम्	शिष्टोक्तिः
अक	१	अक कुटिलायां गतौ	ई-भ्वादिः-७९२ सकर्मकः-सेट्-परस्मैपदी	से	सक	पर		क्त्वा, अकित्वा, अकयित्वा, अचिकिषित्वा	अकितुम्, अकयितुम्, अचिकिषितुम्	घटादिः मित्। ‘इदितस्त्वङ्कते तत्र कुटिलायां गतावकेत्।’ (श्लो ४१) इति देवः। णिच्- सन्- ण्वुल् आककः--किका,  अककः--किका, अचिकिष  कः--षिका;  तृच् (तृन्) अकिता-त्री, अकयिता-त्री, अचिकिषिता-त्री;  शता अकन्-न्ती, अकयन्-न्ती, अचिकिषन्-न्ती;  अकिष्यन्-न्ती-ती, अकयिष्यन्-ती-न्ती, अचिकिषिष्यन्-न्ती-ती;  शानच् अकयमानः, अकयिष्यमाणः;  क्विप् अक्-अकौ अकः;  निष्ठा अकितम्-  तः, अकितः, अचिकिषितः-तम्-तवान्;  अन्ये प्रत्ययाः अकः, अकः,  अचिकिषुः, अचिकयिषुः;  तव्यः अकितव्यम्, अकयितव्यम्, अचिकिषितव्यम्;  अनीयर् अकनीयम्, अकनीयम्, अचिकिषणीयम्;  ण्यत् अथवा यत् आक्यम्, अक्यम्, अचिकिष्यम्;  खल् ईषदकः-दुरकः-स्वकः;  यक् अक्यमानः, अक्यमानः, अचिकिष्यमाणः;  घञ् आकः, अकः, अचिकिषः;  तुमुन् अकितुम्, अकयितुम्, अचिकिषितुम्;  क्तिन्  अक्तिः, अकना, अचिकिषा , अचिकयिषा;   ल्युट् अकनम्, अकनम्, अचिकिषणम्;  क्त्वा अकित्वा, अकयित्वा, अचिकिषित्वा;  ल्यप् समक्य, समकय्य , समचिकिष्य;  क्त्वाणमुलौ अकित्वा २, आकमाकम्,  आकम् २, अकम् २, अकयित्वा २, अचिकिषम् २;  अचिकिषित्वा २;
अकि	२	अकि लक्षणे	भ्वादिः-१-८७। सक-सेट्-आत्मनेपदी।	से	सक	आत्म		अङ्कित्वा, अङ्कयित्वा, अञ्चिकिषित्वा	अङ्कितुम्, अङ्कयितुम्, अञ्चिकिषितुम्	लक्षणं = चिह्रम्। ‘इदितस्त्वङ्कते तत्र कुटिलायां गतावकेत्।’ (श्लो ४१) इति देवः। अ  ङ्ककः--ङ्किका, अङ्ककः-किका,  अञ्चिकिषकः--षिका;  अङ्किता-त्री, अङ्कयिता-त्री, अञ्चिकिषिता-त्री;  अङ्कयन्-न्ती, अङ्कयिष्यन्-न्ती-ती;  अङ्कमानः, अङ्कयमानः, अञ्चिकिषमाणः;  अङ्किष्यमाणः, अङ्कयिष्यमाणः, अञ्चिकिषिष्यमाणः;  अन्  -अङ्कौ-अङ्कः;  अङ्कितः-  तं, अङ्कितः-तम्-तवान्, अञ्चिकिषितः-तवान्;  अङ्कः, अङ्कः, अञ्चिकिषुः, अञ्चिकयिषुः;  अङ्कितव्यम्, अङ्कयितव्यम्, अञ्चिकिषितव्यम्;  अङ्कनीयम्, अङ्कनीयम्, अञ्चिकिषणीयम्;  अङ्क्यम्, अङ्क्यम्, अञ्चिकिष्यम्;  ईषदङ्कः-दुरङ्कः-स्वङ्कः;   अङ्क्यमानः, अङ्क्यमानः, अञ्चिकिष्यमाणः;   अङ्कः, पर्यङ्कः-  पल्यङ्कः, अङ्कः, अञ्चिकिषः;  अङ्कितुम्, अङ्कयितुम्, अञ्चिकिषितुम्;  अङ्का , अङ्कना, अञ्चिकिषा, अञ्चिकयिषा;  अङ्कनम्,  प्राङ्कनम् अङ्कनम्, अञ्चिकिषणम्;  अङ्कित्वा, अङ्कयित्वा, अञ्चिकिषित्वा;  समङ्क्य, समङ्क्य, समञ्चिकिष्य;  अङ्कमङ्कम् २ अङ्कित्वा २, अङ्कम् २, अङ्कयित्वा २, अञ्चिकिषम्;  २ अञ्चिकिषित्वा;  २ अङ्कुरः ;
अक्षू	३	अक्षू व्याप्तौ	भ्वादिः-१-६५४। सक-वेट्-पर।	अनि	सक	पर		अक्षित्वा, अष्ट्वा, अक्षयित्वा, अचिक्षिषित्वा	अक्षितुम्, अक्षयितुम्, अचिक्षिषितुम्	‘संघाते च’ इति क्षीरस्वामी। अक्षकः-क्षिका, अक्षकः-क्षिका, अचिक्षिषकः-षिका;   अक्षिता-त्री, अष्टा-ष्ट्री, अक्षयिता-त्री, अचिक्षिषिता-त्री;  अक्षन्-न्ती, अक्षयन्-न्ती, अचिक्षिषन्-न्ती;   अक्ष्णुवन्-वती, अक्षिष्यन्-अक्ष्यन्-ती-न्ती, अक्षयिष्यन्-ती-न्ती, अचिक्षिषिष्यन्-ती-न्ती;  अक्षयमाणः, अक्षयिष्यमाणः;  अट्  -अक्षौ-अक्षः, अक्  अक्षौ-अक्षः,  अष्टः-ष्टम्-ष्टवान्, अक्षितः, अचिक्षिषितम्-तः-तवान्;   अक्षः, अक्षः,  काष्ठाक्षः (ज्वलनः), अचिक्षिषुः, अचिक्षयिषुः;  अक्षितव्यम् अष्टव्यम् अक्षयितव्यम्, अचिक्षिषितव्यम्;  अक्षणीयम्, अक्षणीयम्, अचिक्षिषणीयम्;  अक्ष्यम्, अक्ष्यम्, अचिक्षिष्यम्;  ईषदक्षः-दुरक्षः-स्वक्षः;  अक्ष्यमाणः, अक्ष्यमाणः, अचिक्षिष्यमाणः;  अक्षः, अक्षः, अचिक्षिषः;  अक्षितुम्-अष्टुम्, अक्षयितुम्, अचिक्षिषितुम्;  अष्टिः, अक्षणा, अचिक्षिषा, अचिक्षयिषा;  अक्षणम्, अक्षणम्, अचिक्षिषणम्;  अक्षित्वा, अष्ट्वा, अक्षयित्वा, अचिक्षिषित्वा;  समक्ष्य, समक्ष्य, समचिक्षिष्य;  अक्षम् २, अक्षित्वा २, अष्ट्वा २ अक्षम् २, अक्षयित्वा २, अचिक्षिषम् २, अचिक्षिषित्वा २, अक्षि ।।
अग	४	अग कुटिलायां गतौ	भ्वादिः-१-७९३-सक। से। पर।	से	सक	पर	१			घटादिः। आगकः-गिका, अगकः-गिका, अजिगिषकः-षिका;  इत्यादि सर्वं अक (१) घातुवत् बोद्धव्यम्।
अगि	५	अगि गतौ	भ्वादिः-१-१४६-सक। से। पर।	से	सक	पर	२			अङ्गन्-न्ती, अङ्गिष्यन्-न्ती-ती, अङ्गयन्-न्ती, अङ्गयिष्यन्-न्ती-ती;  अञ्जिगिषन्-न्ती इत्यादिरूपाणि विना, अवशिष्टानि अकि (२) धातुवत् बोद्धव्यानि। अस्य धातोरौणादिके निप्रत्यये नलोपे (अङ्गति = ज्वालारूपेणोद्र्ध्वं गच्छति इत्यर्थे) अग्निः।।  संज्ञायां घः = अङ्गम्। प्रशस्तानि अङ्गानि यस्याः सा = अङ्गना। ‘अङ्गात् कल्याणे’ (ग। सू, -५-२-१००) इति पामादित्वात् नः प्रत्ययः। ‘विल- ङ्गदेणं शबराङ्गनाजनप्रवङ्गितं मङ्गलधेनुतङ्गितम्’ धा-का। १-२०।
अघि	६	अघि गत्याक्षेपे	भ्वादिः-१-१०९-सक। सेट्-आ।	से	सक	आत्म	२			गत्याक्षेपो = निन्दा (गतौ-गत्यारम्भे च)। अङ्घकः-ङ्घिका, अञ्जिघिषकः-षिका, इत्यादिरूपाणि ‘अकि लक्षणे’ (२) इति धातुवद् बोध्यानि। अङ्घितम् = भावे क्तः ‘अरङ्कि कोलैर्लघु तद्रथस्वनात् प्रबुद्ध्य सिंहैः पुनरङ्घितं सदा’ धा। का-१-१५।
अङ्क	७	अङ्क पदे लक्षणे च	१०-१९२७-चुरादिः सक। सेट्-उभ-	से	सक	उभ		अङ्कयित्वा, अञ्चिकयिषित्वा	अङ्कयितुम्, अञ्चिकयिषितुम्	अदन्तः। ‘अङ्क लक्षण इत्यस्य भवेदङ्कयतीति णौ’ (श्लो ४१) इति देवः। ^१ अङ्ककः-ङ्किका, अञ्चिकयिषकः-षिका;  अङ्कयिता-त्री, अञ्चिकयिषिता-त्री;  अङ्कयन्-न्ती, अञ्चिकयिषन्-न्ती;  अङ्कयिष्यन्-न्ती-ती, अञ्चिकयिषिष्यन्-ती-न्ती;  अङ्कयमानः, अञ्चिकयिषमाणः;  अङ्कयिष्यमाणः, अञ्चिकयिषिष्यमाणः;  अन्-अङ्कौ-अङ्कः;  अङ्कितम्-तः-तवान्, अञ्चिकयिसितः-तवान्;  अङ्कः, अञ्चिकयिषुः;  अङ्कयितव्यम्, अञ्चिकयिषितव्यम्;  अङ्कनीयम्, अञ्चिकयिषणीयम्;  अङ्क्यम्, अञ्चिकयिष्यम्;  ईषदङ्कः-दुरङ्कः-स्वङ्कः;  अङ्क्यमानः, अञ्चिकयिष्यमाणः;  अङ्कः, अञ्चिकयिषः;  अङ्कयितुम्, अञ्चिकयिषितुम्;  अङ्कना, अञ्चिकयिषा;   अङ्कनम्, अञ्चिकयिषणम्;  अङ्कयित्वा, अञ्चिकयिषित्वा;  समङ्क्य, समञ्चिकयिष्य;  अङ्कम् २, अङ्कयित्वा २, अञ्चिकयिषम् २ अञ्चिकयिषित्वा २ १। धातोर्नित्यणिजन्तत्वात् णिज्रहिताद्रूपाणि न भवन्ति। अनेकाच्- त्वाद् यङन्तरूपाण्यपि न।
अङ्ग	८	अङ्ग पदे लक्षणे च	१०-१९२८-चुरादिः-सक। सेट्-उभ-	से	सक	उभ	७			अदन्तः। पूर्वधातुवत् (७) सर्वाणि रूपाणि ज्ञेयानि।
अज	९	अज गतिक्षेपणयोः	भ्वादिः-१-२३०-सक। सेट्-पर-	से	सक	पर		वीत्वा, अजित्वा, वाययित्वा, विवीषित्वा, अजिजिषित्वा, वेवीयित्वा	वेतुम्, अजितुम्, वाययितुम्, विवीषितुम्, अजिजिषितुम्, वेवीयितुम्	क्षेपणम् = प्रेरणम्।  वायकः-यिका, वायकः-यिका विवीषकः-  अजिजिषकः-षिका,;  वेवीयक;   वेता-त्री,  अजिता-त्री, वाययिता-त्री, विवीषिता-त्री, अजिजिषिता, वेवीयिता-त्री;  अजन्  -न्ती, वाययन्-न्ती, विवीषन्-न्ती, अजिजिषन्-न्ती;  वेष्यन्-न्ती-ती, अजिष्यन्-ती-न्ती, बाययिष्यन्-ती-न्ती, विवीषिष्यन्-ती-न्ती, अजिजिषिष्यन्-ती-न्ती;  वाययमानः, वाययिष्यमाणः, वेवीयमानः, वेवीयिष्यमाणः;  परिवीः-परिव्यौ-परिव्यः, समक्-समजौ-समजः;  वीतः, अजितः-वायितम्-तः, विवीषितः, अजिजिषितः, वेवीयितः-तम्-तवान्, अजः,  अजा,  आजिः,  पदाजिः,  विवीषुः, विवाययिषुः, अजिजिषुः, आजिजयिषुः, वेबीय;   वेतव्यम्-अजितव्यम्, वाययितव्यम्, विवीषितव्यम्, अजिजिषितव्यम्, वेवीयितव्यम्;  वयनीयम्, वायनीयम्, विवीषणीयम्, अजिजिषणीयम्, वेवीयनीयम्;  वेयम्, वाय्यम्, विवीष्यम्, अजिजिष्यम्, वेवीय्यम्;  ईषद्वयः, दुर्वयः, सुवयः;  वीयमानः, वाय्यमानः, विवीष्यमाणः, अजिजिष्यमाणः;  वेवीय्यमानः;   समजः,  समाजः , उदाजः, -वायः, वात  मजा  ः (मृगाः), व्यजः , व्याजः ;  वेतुम्, अजितुम्, वाययितुम्, विवीषितुम्, अजिजिषितुम्, वेवीयितुम्;  वीतिः, अक्तिः,  समज्या, वायना, विवीषा, विवाययिषा, अजिजिषा, आजिजयिषा, वेवीया;  प्रवयणम्  -प्राजनम्, वायनम्, विवीषणम्, अजिजिषणम्, वेवीयनम्;  वीत्वा, अजित्वा, वाययित्वा, विवीषित्वा, अजिजिषित्वा, वेवीयित्वा;  प्रवीय, प्राज्य, प्रवाय्य, प्रविवीष्य, प्राजिजिष्य, प्रवेवीय्य;  वायम् २, वीत्वा २, अजित्वा २, वायम् २ वाययित्वा २, विवीषम् २, विवीषित्वा २, अजिजिषम् २, अजिजिषित्वा २, वेवीयम् २, वेवीयित्वा २;  औणादिके = अजिनम्  -अजिरम् ;
अजि	१०	अजि भाषार्थः	१०-चुरादिः १७८६-सक। सेट्। उभ।	से	सक	उभ		अञ्जयित्वा, अञ्जिजयिषित्वा	अञ्जयितुम्, अञ्जिजयिषितुम्	अञ्जकः-ञ्जिका, व्यञ्जकः, अञ्जिजयिषकः-षिका;  अञ्जयिता-त्री, अञ्जिजयिषिता-त्री;  अञ्जयन्-न्ती, अञ्जिजयिषन्-न्ती;  अञ्जयिष्यन्-ती-न्ती, अञ्जिजयिषिष्यन्-ती-न्ती;  अञ्जयमानः, अञ्जिजयिषमाणः;  अञ्जयिष्यमाणः, अञ्जिजयिषिष्यमाणः;  व्यन्-व्यञ्जौ-व्यञ्जः;  अञ्जितम्-तः-तवान्, अञ्जिजयिषितः-तवान्;  व्यञ्जः, अञ्जिजयिषुः;  अञ्जयितव्यम्, अञ्जिजयिषितव्यम्;  व्यञ्जनीयम्, अञ्जिजयिषणीयम्;  अञ्ज्यम्, अञ्जिजयिष्यम्;  ईषदञ्जः, दुरञ्जः, स्वञ्जः;  अञ्ज्यमानः, अञ्जिजयिष्यमाणः;  अञ्जः, अञ्जिजयिषः;  अञ्जयितुम्, अञ्जिजयिषितुम्;  अञ्जना-व्यञ्जना, अञ्जिजयिषा;  व्यञ्जनम्, अञ्जिजयिषणम्;  अञ्जयित्वा, अञ्जिजयिषित्वा;  अभिव्यञ्ज्य, व्यञ्जिजयिष्य;  व्यञ्जम् २, अञ्जयित्वा २, अञ्जिजयिषम् २;  अञ्जिजयिषित्वा २;
