क्रमाङ्कः	औपदेशिक-धातुः	टिप्पणिः	अर्थः	निरनुबन्ध-धातुः	क्त	क्तवतु	क्त्वा	ल्यप्	तुमुन्	तव्यत् 	तृच् 	लृट् प॰	लृट् आ॰	ण्वुल्	घञ्	(ण्)यत्	अनीयर्	ल्युट्
1	दाण्		दाने	दा	दत्तः	दत्तवान्	दत्वा	प्रदाय	दातुम्	दातव्यम्	दाता	दास्यति		दायकः	दायः	देयम्	दानीयम्	दानम्	
2	देङ्		रक्षणे	दे	दत्तः	दत्तवान्	दत्वा	प्रदाय	दातुम्	दातव्यम्	दाता		दास्यते	दायकः	दायः	देयम्	दानीयम्	दानम्	
3	डुदाञ्		दाने	दा	दत्तः	दत्तवान्	दत्वा	प्रदाय	दातुम्	दातव्यम्	दाता	दास्यति	दास्यते	दायकः	दायः	देयम्	दानीयम्	दानम्	
4	दो		अवखण्डने	दो	दितः	दितवान्	दित्वा	प्रदाय	दातुम्	दातव्यम्	दाता	दास्यति		दायकः	दायः	देयम्	दानीयम्	दानम्	
5	धेट्		पाने	धे	धीतः	धीतवान्	धीत्वा	निधाय	धातुम्	धातव्यम्	धाता	धास्यति		धायकः	धायः	धेयम्	धानीयम्	धानम्	
6	डुधाञ्		धारणपोषणयोः	धा	हितः	हितवान्	हित्वा	निधाय	धातुम्	धातव्यम्	धाता	धास्यति	धास्यते	धायकः	धायः	धेयम्	धानीयम्	धानम्	
7	मेङ्		प्रणिदाने	मे	मितः	मितवान्	मित्वा	अपमित्य/अपमाय	मातुम्	मातव्यम्	माता		मास्यते	मायकः	मायः	मेयम्	मानीयम्	मानम्	
8	मा		माने	मा	मितः	मितवान्	मित्वा	प्रमाय	मातुम्	मातव्यम्	माता	मास्यति		मायकः	मायः	मेयम्	मानीयम्	मानम्	
9	माङ्		माने	मा	मितः	मितवान्	मित्वा	प्रमाय	मातुम्	मातव्यम्	माता		मास्यते	मायकः	मायः	मेयम्	मानीयम्	मानम्	
10	माङ्		माने	मा	मितः	मितवान्	मित्वा	प्रमाय	मातुम्	मातव्यम्	माता		मास्यते	मायकः	मायः	मेयम्	मानीयम्	मानम्	
11	पा		पाने	पा	पीतः	पीतवान्	पीत्वा	प्रपाय	पातुम्	पातव्यम्	पाता	पास्यति		पायकः	पायः	पेयम्	पानीयम्	पानम्	
12	पै		शोषणे	पै	पातः	पीतवान्	पात्वा	प्रपाय	पातुम्	पातव्यम्	पाता	पास्यति		पायकः	पायः	पेयम्	पानीयम्	पानम्	
13	पा		रक्षणे	पा	पातः	पातवान्	पात्वा	प्रपाय	पातुम्	पातव्यम्	पाता	पास्यति		पायकः	पायः	पेयम्	पानीयम्	पानम्	
14	ष्ठा		गतिनिवृत्तौ	स्था	स्थितः	स्थितवान्	स्थित्वा	प्रस्थाय	स्थातुम्	स्थातव्यम्	स्थाता	स्थास्यति		स्थायकः	स्थायः	स्थेयम्	स्थानीयम्	स्थानम्	
15	गै		शब्दे	गै	गीतः	गीतवान्	गीत्वा	प्रगाय	गातुम्	गातव्यम्	गाता	गास्यति		गायकः	गायः	गेयम्	गानीयम्	गानम्	
16	गाङ्		गतौ	गा	गीतः	गीतवान्	गीत्वा	प्रगाय	गातुम्	गातव्यम्	गाता		गास्यते	गायकः	गायः	गेयम्	गानीयम्	गानम्	
17	गा		स्तुतौ	गा	गीतः	गीतवान्	गीत्वा	प्रगाय	गातुम्	गातव्यम्	गाता	गास्यति		गायकः	गायः	गेयम्	गानीयम्	गानम्	
18	ज्या		वयोहानौ	ज्या	जीनः	जीनवान्	जीत्वा	प्रजाय	जातुम्	जातव्यम्	जाता	जास्यति		जायकः	जायः	जेयम्	जानीयम्	जानम्	
19	ओहाक्		त्यागे	हा	हीनः	हीनवान्	हीत्वा	विहाय	हातुम्	हातव्यम्	हाता	हास्यति		हायकः	हायः	हेयम्	हानीयम्	हानम्	
20	ओहाङ्		गतौ	हा	हानः	हानवान्	हात्वा	विहाय	हातुम्	हातव्यम्	हाता		हास्यते	हायकः	हायः	हेयम्	हानीयम्	हानम्	
21	शो		तनूकरणे	शो	शितः/शातः	शितवान्/शातवान्	शित्वा/शात्वा	प्रशाय	शातुम्	शातव्यम्	शाता	शास्यति		शायकः	शायः	शेयम्	शानीयम्	शानम्	
22	छो		छेदने	छो	छितः/छातः	छितवान्/छातवान्	छित्वा/छात्वा	प्रच्छाय	छातुम्	छातव्यम्	छाता	छास्यति		छायकः	छायः	छेयम्	छानीयम्	छानम्	
23	षो		अन्तकर्मणि	षो	सितः	सितवान्	सित्वा	अवसाय	सातुम्	सातव्यम्	साता	सास्यति		सायकः	सायः	सेयम्	सानीयम्	सानम्	
24	व्येञ्		संवरणे	व्ये	वीतः	वीतवान्	वीत्वा	प्रव्याय	व्यातुम्	व्यातव्यम्	व्याता	व्यास्यति	व्यास्यते	व्यायकः	व्यायः	व्येयम्	व्यानीयम्	व्यानम्	
25	क्षै		क्षये	क्षै	क्षामः	क्षामवान्	क्षात्वा	प्रक्षाय	क्षातुम्	क्षातव्यम्	क्षाता	क्षास्यति		क्षायकः	क्षायः	क्षेयम्	क्षाणीयम्	क्षाणम्	
26	ग्लै		हर्षक्षये	ग्लै	ग्लानः	ग्लानवान्	ग्लात्वा	प्रग्लाय	ग्लातुम्	ग्लातव्यम्	ग्लाता	ग्लास्यति		ग्लायकः	ग्लायः	ग्लेयम्	ग्लानीयम्	ग्लानम्	
27	म्लै		हर्षक्षये	म्लै	म्लानः	म्लानवान्	म्लात्वा	प्रम्लाय	म्लातुम्	म्लातव्यम्	म्लाता	म्लास्यति		म्लायकः	म्लायः	म्लेयम्	म्लानीयम्	म्लानम्	
28	द्यै		न्यक्करणे	द्यै	द्यानः	द्यानवान्	द्यात्वा	प्रद्याय	द्यातुम्	द्यातव्यम्	द्याता	द्यास्यति		द्यायकः	द्यायः	द्येयम्	द्यानीयम्	द्यानम्	
29	ओवै		शोषणे	वै	वानः	वानवान्	वात्वा	प्रवाय	वातुम्	वातव्यम्	वाता	वास्यति		वायकः	वायः	वेयम्	वानीयम्	वानम्	
30	प्यैङ्		वृद्धौ	प्यै	प्यानः	प्यानवान्	प्यात्वा	प्रप्याय	प्यातुम्	प्यातव्यम्	प्याता		प्यास्यते	प्यायकः	प्यायः	प्येयम्	प्यानीयम्	प्यानम्	
31	श्रै स्त्रै		पाके	श्रै	श्राणः	श्राणवान्	श्रात्वा	प्रश्राय	श्रातुम्	श्रातव्यम्	श्राता	श्रास्यति		श्रायकः	श्रायः	श्रेयम्	श्रेणीयम्	श्राणम्	
32	स्त्यै		शब्दसङ्घातयोः	स्त्यै	स्त्यानः	स्त्यानवान्	स्त्यात्वा	प्रस्त्याय	स्त्यातुम्	स्त्यातव्यम्	स्त्याता	स्त्यास्यति		स्त्यायकः	स्त्यायः	स्त्येयम्	स्त्यानीयम्	स्त्यानम्	
33	ष्ट्यै		शब्दसङ्घातयोः	स्त्यै	स्त्यानः	स्त्यानवान्	स्त्यात्वा	प्रस्त्याय	स्त्यातुम्	स्त्यातव्यम्	स्त्याता	स्त्यास्यति		स्त्यायकः	स्त्यायः	स्त्यायम्	स्त्यानीयम्	स्त्यानम्	
34	द्रै		स्वप्ने	द्रै	द्राणः	द्राणवान्	द्रात्वा	प्रद्राय	द्रातुम्	द्रातव्यम्	द्राता	द्रास्यति		द्रायकः	द्रायः	द्रेयम्	द्राणीयम्	द्राणम्	
35	श्यैङ्		गतौ	श्यै	श्यातः	श्यानवान्	श्यात्वा	प्रश्याय	श्यातुम्	श्यातव्यम्	श्याता		श्यास्यते	श्यायकः	श्यायः	श्येयम्	श्यानीयम्	श्यानम्	
36	श्रा		पाके	श्रा	श्राणः	श्राणवान्	श्रात्वा	प्रश्राय	श्रातुम्	श्रातव्यम्	श्राता	श्रास्यति		श्रायकः	श्रायः	श्रेयम्	श्राणीयम्	श्राणम्	
37	द्रा		कुत्सायां गतौ	द्रा	द्राणः	द्राणवान्	द्रात्वा	प्रद्राय	द्रातुम्	द्रातव्यम्	द्राता	द्रास्यति		द्रायकः	द्रायः	द्रेयम्	द्राणीयम्	द्राणम्	
38	प्रा		पूरणे	प्रा	प्राणः	प्राणवान्	प्रात्वा	निप्राय	प्रातुम्	प्रातव्यम्	प्राता	प्रास्यति		प्रायकः	प्रायः	प्रेयम्	प्राणीयम्	प्राणम्	
39	त्रैङ्		पालने	त्रै	त्राणः/त्रातः	त्राणवान्/त्रातवान्	त्रात्वा	प्रत्राय	त्रातुम्	त्रातव्यम्	त्राता		त्रास्यते	त्रायकः	त्रायः	त्रेयम्	त्राणीयम्	त्राणम्	
40	ध्रै		तृप्तौ	ध्रै	ध्राणः	ध्राणवान्	ध्रात्वा	प्रध्राय	ध्रातुम्	ध्रातव्यम्	ध्राता	ध्रास्यति		ध्रायकः	ध्रायः	ध्रेयम्	ध्राणीयम्	ध्राणम्	
41	घ्रा		गन्धोपादाने	घ्रा	घ्राणः/घ्रातः	घ्राणवान्/घ्रातवान्	घ्रात्वा	प्रघ्राय	घ्रातुम्	घ्रातव्यम्	घ्राता	घ्रास्यति		घ्रायकः	घ्रायः	घ्रेयम्	घ्राणीयम्	घ्राणम्	
42	वा		गतिगन्धनयोः	वा	वातः/निर्वाणः	वातवान्/निर्वाणवान्	वात्वा	प्रवाय	वातुम्	वातव्यम्	वाता	वास्यति		वायकः	वायः	वेयम्	वानीयम्	वानम्	
43	वेञ्		तन्तुसन्ताने	वे	उतः	उतवान्	उत्वा	प्रवाय	वातुम्	वातव्यम्	वाता	वास्यति	वास्यते	वायकः	वायः	वेयम्	वानीयम्	वानम्	
44	म्ना		अभ्यासे	म्ना	म्नातः	म्नातवान्	म्नात्वा	प्रम्नाय	म्नातुम्	म्नातव्यम्	म्नाता	म्नास्यति		म्नायकः	म्नायः	म्नेयम्	म्नानीयम्	म्नानम्	
45	ध्यै		चिन्तायाम्	ध्यै	ध्यातः	ध्यातवान्	ध्यात्वा	प्रध्याय	ध्यातुम्	ध्यातव्यम्	ध्याता	ध्यास्यति		ध्यायकः	ध्यायः	ध्येयम्	ध्यानीयम्	ध्यानम्	
46	दरिद्रा		दुर्गतौ	दरिद्रा	दरिद्रितः	दरिद्रितवान्	दरिद्रित्वा	प्रदरिद्र्य	दरिद्रितुम्	दरिद्रितव्यम्	दरिद्रिता	दरिद्रिष्यति		दरिद्रायकः	दरिद्रायः	दरिद्रेयम्	दरिद्रिणीयम्	दरिद्रिणम्	
47	रै		शब्दे	रै	रातः	रातवान्	रात्वा	प्रराय	रातुम्	रातव्यम्	राता	रास्यति		रायकः	रायः	रेयम्	राणीयम्	राणम्	
48	खै		खदने	खै	खातः	खातवान्	खात्वा	प्रखाय	खातुम्	खातव्यम्	खाता	खास्यति		खायकः	खायः	खेयम्	खानीयम्	खानम्	
49	जै		क्षये	जै	जातः	जातवान्	जात्वा	प्रजाय	जातुम्	जातव्यम्	जाता	जास्यति		जायकः	जायः	जेयम्	जानीयम्	जानम्	
50	षै		क्षये	सै	सातः	सातवान्	सात्वा	प्रसाय	सातुम्	सातव्यम्	साता	सास्यति		सायकः	सायः	सेयम्	सानीयम्	सानम्	
