aka	(1) {@“aka kuTilAyAM gatau”@} (I-bhvAdiH-792 sakarmakaH-seT-parasmaipadI) ghaTAdiH mit| ‘iditastvaGkate tatra kuTilAyAM gatAvaket|’ (zlo 41) iti devaH| Nic- san- Nvul AkakaH--kikA, [[1. ‘mitAM hrasvaH’ (6-4-92) iti Nau upadhAyA hrasvaH|]] akakaH--kikA, acikiSa [[1A ‘ajAderdvitIyasya’ (6-1-2) iti dvitIya- syaikAcaH dvitvam| ‘kuhozcuH’ (7-4-62) ityabhyAsasya cutvam|]] kaH--SikA;\n\n  tRc (tRn) akitA-trI, akayitA-trI, acikiSitA-trI;\n\n  zatA akan-ntI, akayan-ntI, acikiSan-ntI;\n\n  akiSyan-ntI-tI, akayiSyan-tI-ntI, acikiSiSyan-ntI-tI;\n\n  zAnac akayamAnaH, akayiSyamANaH;\n\n  kvip ak-akau akaH;\n\n  niSThA akitam- [[A. ‘asAgyamAsraM sthagaye kathaM vA kagAmi kiM vA haraye'kitAya’ dhAtu- kAvye 2-8. zlokaH|]] taH, akitaH, acikiSitaH-tam-tavAn;\n\n  anye pratyayAH akaH, akaH, [[2. ‘sanAzaMsabhikSa uH’ (3-2-168) iti uH pratyayaH|]] acikiSuH, acikayiSuH;\n\n  tavyaH akitavyam, akayitavyam, acikiSitavyam;\n\n  anIyar akanIyam, akanIyam, acikiSaNIyam;\n\n  Nyat athavA yat Akyam, akyam, acikiSyam;\n\n  khal ISadakaH-durakaH-svakaH;\n\n  yak akyamAnaH, akyamAnaH, acikiSyamANaH;\n\n  ghaJ AkaH, akaH, acikiSaH;\n\n  tumun akitum, akayitum, acikiSitum;\n\n  ktin [[2A ‘titutra--’ (7-2-9) itINNiSedhaH|]] aktiH, akanA, acikiSA [[3. ‘a pratyayAt’ (3-3-102) iti striyAmakAraH pratyayaH| TAp|]], acikayiSA;\n\n  [pRSTham0004+ 35] lyuT akanam, akanam, acikiSaNam;\n\n  ktvA akitvA, akayitvA, acikiSitvA;\n\n  lyap samakya, samakayya [[1. ‘lyapi laghupUrvAt’ (6-4-56) iti NerayAdezaH|]], samacikiSya;\n\n  ktvANamulau akitvA 2, AkamAkam, [[2. ‘ciNNamulordIrgho'nyatarasyAm’ (6-4-93) ityupadhAyA dIrghavikalpaH|]] Akam 2, akam 2, akayitvA 2, acikiSam 2;\n\n  acikiSitvA 2;\n\n 
aki	(2) {@“aki lakSaNe”@} (bhvAdiH-1-87. saka-seT-AtmanepadI|) lakSaNaM = cihram| ‘iditastvaGkate tatra kuTilAyAM gatAvaket|’ (zlo 41) iti devaH| a [[3. ‘idito num dhAtoH’ (7-1-58) iti num|]] GkakaH--GkikA, aGkakaH-kikA, [[4. ‘na ndrAH saMyogAdayaH’ (6-1-3) iti nakArasya dvitvaniSedhaH| ‘kuhozcuH’ (7-4-62) ityabhyAsasya cakAraH||]] aJcikiSakaH--SikA;\n\n  aGkitA-trI, aGkayitA-trI, aJcikiSitA-trI;\n\n  aGkayan-ntI, aGkayiSyan-ntI-tI;\n\n  aGkamAnaH, aGkayamAnaH, aJcikiSamANaH;\n\n  aGkiSyamANaH, aGkayiSyamANaH, aJcikiSiSyamANaH;\n\n  an [[5. ‘saMyogAntasya lopaH’ (8-2-23)|]] -aGkau-aGkaH;\n\n  aGkitaH- [[B. ‘phalAGkitAn vaGkitavallimaGkitAn vanapradezAn urukAkakokilAn’ dhA-kA. 1-13.]] taM, aGkitaH-tam-tavAn, aJcikiSitaH-tavAn;\n\n  aGkaH, aGkaH, aJcikiSuH, aJcikayiSuH;\n\n  aGkitavyam, aGkayitavyam, aJcikiSitavyam;\n\n  aGkanIyam, aGkanIyam, aJcikiSaNIyam;\n\n  aGkyam, aGkyam, aJcikiSyam;\n\n  ISadaGkaH-duraGkaH-svaGkaH;\n\n  [[6. idittvAt ‘aniditAM’ (6-4-24) iti nalopo na|]] aGkyamAnaH, aGkyamAnaH, aJcikiSyamANaH;\n\n  [pRSTham0005+ 29] aGkaH, paryaGkaH- [[1. ‘parezca ghAGkayoH’ (8-2-22) iti latvaM vA| maJca ityarthaH|]] palyaGkaH, aGkaH, aJcikiSaH;\n\n  aGkitum, aGkayitum, aJcikiSitum;\n\n  aGkA [[2. ‘gurozca halaH’ (3-3-103) iti striyAM akdamapratyayaH|]], aGkanA, aJcikiSA, aJcikayiSA;\n\n  aGkanam, [[3. ‘ijAdessanumaH’ (8-4-32) iti niyamAt NatvaM na|]] prAGkanam aGkanam, aJcikiSaNam;\n\n  aGkitvA, aGkayitvA, aJcikiSitvA;\n\n  samaGkya, samaGkya, samaJcikiSya;\n\n  aGkamaGkam 2 aGkitvA 2, aGkam 2, aGkayitvA 2, aJcikiSam;\n\n  2 aJcikiSitvA;\n\n  2 aGkuraH [[4. auNAdika urac|]];\n\n 
akSU	(3) {@“akSU vyAptau”@} (bhvAdiH-1-654. saka-veT-para.) ‘saMghAte ca’ iti kSIrasvAmI| akSakaH-kSikA, akSakaH-kSikA, acikSiSakaH-SikA;\n\n  [[5. ‘svaratisUti--’ (7-2-44) itIDvikalpaH|]] akSitA-trI, aSTA-STrI, akSayitA-trI, acikSiSitA-trI;\n\n  akSan-ntI, akSayan-ntI, acikSiSan-ntI;\n\n  [[6. ‘akSo'nyatarasyAm’ (3-1-75) iti vA znuH| uvaG|]] akSNuvan-vatI, akSiSyan-akSyan-tI-ntI, akSayiSyan-tI-ntI, acikSiSiSyan-tI-ntI;\n\n  akSayamANaH, akSayiSyamANaH;\n\n  aT [[7. ‘skoH--’ (8-2-29) iti kalopaH|]] -akSau-akSaH, ak [[8. ‘saMyogAntasya lopaH’ (8-2-23)|]] akSau-akSaH, [[9. UdittvAt, ‘yasya vibhASA’ (7-2-15) itINNiSedhaH| kakAralopaH|]] aSTaH-STam-STavAn, akSitaH, acikSiSitam-taH-tavAn;\n\n  [pRSTham0006+ 24] akSaH, akSaH, [[1. ‘karmaNyaN’ (3-2-1) ityaN|]] kASThAkSaH (jvalanaH), acikSiSuH, acikSayiSuH;\n\n  akSitavyam aSTavyam akSayitavyam, acikSiSitavyam;\n\n  akSaNIyam, akSaNIyam, acikSiSaNIyam;\n\n  akSyam, akSyam, acikSiSyam;\n\n  ISadakSaH-durakSaH-svakSaH;\n\n  akSyamANaH, akSyamANaH, acikSiSyamANaH;\n\n  akSaH, akSaH, acikSiSaH;\n\n  akSitum-aSTum, akSayitum, acikSiSitum;\n\n  aSTiH, akSaNA, acikSiSA, acikSayiSA;\n\n  akSaNam, akSaNam, acikSiSaNam;\n\n  akSitvA, aSTvA, akSayitvA, acikSiSitvA;\n\n  samakSya, samakSya, samacikSiSya;\n\n  akSam 2, akSitvA 2, aSTvA 2 akSam 2, akSayitvA 2, acikSiSam 2, acikSiSitvA 2, akSi [[2. auNAdika in pratyayaH|]]||
aga	(4) {@“aga kuTilAyAM gatau”@} (bhvAdiH-1-793-saka. se. para.) ghaTAdiH| \n\nAgakaH-gikA, agakaH-gikA, ajigiSakaH-SikA;\n\n  ityAdi sarvaM aka (1.) ghAtuvat boddhavyam|
agi	(5) {@“agi gatau”@} (bhvAdiH-1-146-saka. se. para.) \n\naGgan-ntI, aGgiSyan-ntI-tI, aGgayan-ntI, aGgayiSyan-ntI-tI;\n\n  aJjigiSan-ntI ityAdirUpANi vinA, avaziSTAni aki (2.) dhAtuvat boddhavyAni| \n\nasya dhAtorauNAdike nipratyaye nalope (aGgati = jvAlArUpeNodrdhvaM gacchati ityarthe) agniH|| [pRSTham0007+ 27] \n\nsaMjJAyAM ghaH = aGgam| prazastAni aGgAni yasyAH sA = aGganA| ‘aGgAt kalyANe’ (ga. sU, -5-2-100) iti pAmAditvAt naH pratyayaH| ‘vila- GgadeNaM zabarAGganAjanapravaGgitaM maGgaladhenutaGgitam’ dhA-kA. 1-20.
aghi	(6) {@‘aghi gatyAkSepe’@} (bhvAdiH-1-109-saka. seT-A.) gatyAkSepo = nindA (gatau-gatyArambhe ca)| \n\naGghakaH-GghikA, aJjighiSakaH-SikA, ityAdirUpANi ‘aki lakSaNe’ \n\n(2.) iti dhAtuvad bodhyAni| aGghitam = bhAve ktaH ‘araGki kolairlaghu tadrathasvanAt prabuddhya siMhaiH punaraGghitaM sadA’ dhA. kA-1-15.
aGka	(7) {@‘aGka pade lakSaNe ca’@} (10-1927-curAdiH saka. seT-ubha-) adantaH| ‘aGka lakSaNa ityasya bhavedaGkayatIti Nau’ (zlo 41) iti devaH| ^1 aGkakaH-GkikA, aJcikayiSakaH-SikA;\n\n  aGkayitA-trI, aJcikayiSitA-trI;\n\n  aGkayan-ntI, aJcikayiSan-ntI;\n\n  aGkayiSyan-ntI-tI, aJcikayiSiSyan-tI-ntI;\n\n  aGkayamAnaH, aJcikayiSamANaH;\n\n  aGkayiSyamANaH, aJcikayiSiSyamANaH;\n\n  an-aGkau-aGkaH;\n\n  aGkitam-taH-tavAn, aJcikayisitaH-tavAn;\n\n  aGkaH, aJcikayiSuH;\n\n  aGkayitavyam, aJcikayiSitavyam;\n\n  aGkanIyam, aJcikayiSaNIyam;\n\n  aGkyam, aJcikayiSyam;\n\n  ISadaGkaH-duraGkaH-svaGkaH;\n\n  aGkyamAnaH, aJcikayiSyamANaH;\n\n  aGkaH, aJcikayiSaH;\n\n  aGkayitum, aJcikayiSitum;\n\n  aGkanA, aJcikayiSA;\n\n  [pRSTham0008+ 37] aGkanam, aJcikayiSaNam;\n\n  aGkayitvA, aJcikayiSitvA;\n\n  samaGkya, samaJcikayiSya;\n\n  aGkam 2, aGkayitvA 2, aJcikayiSam 2 aJcikayiSitvA 2 \n\n1. dhAtornityaNijantatvAt NijrahitAdrUpANi na bhavanti| anekAc- tvAd yaGantarUpANyapi na|
aGga	(8) {@‘aGga pade lakSaNe ca’@} (10-1928-curAdiH-saka. seT-ubha-) adantaH| pUrvadhAtuvat (7) sarvANi rUpANi jJeyAni|
aja	(9) {@“aja gatikSepaNayoH”@} (bhvAdiH-1-230-saka. seT-para-) kSepaNam = preraNam| [[1. ‘ajervyaghaJapoH’ (2-4-56) iti vIbhAvaH|]] vAyakaH-yikA, vAyakaH-yikA vivISakaH- [[2. ‘valAdAvArdhadhAtuke veSyate’ (2-4-56 vA) iti vA vIbhAvaH|]] ajijiSakaH-SikA,;\n\n  vevIyaka;\n\n  [[1. A. ArdhadhAtukavivakSAyAM vIbhAvAt halAditvAt yaG|]] vetA-trI, [[2. ‘valAdAvArdhadhAtuke veSyate’ (2-4-56 vA) iti vA vIbhAvaH|]] ajitA-trI, vAyayitA-trI, vivISitA-trI, ajijiSitA, vevIyitA-trI;\n\n  ajan [[A. ‘akarjito'sau harikharjanotkadhIH ajatpazubrAtamajena tejitam’ dhA-kA-1-31.]] -ntI, vAyayan-ntI, vivISan-ntI, ajijiSan-ntI;\n\n  veSyan-ntI-tI, ajiSyan-tI-ntI, bAyayiSyan-tI-ntI, vivISiSyan-tI-ntI, ajijiSiSyan-tI-ntI;\n\n  vAyayamAnaH, vAyayiSyamANaH, vevIyamAnaH, vevIyiSyamANaH;\n\n  parivIH-parivyau-parivyaH, samak-samajau-samajaH;\n\n  vItaH, ajitaH-vAyitam-taH, vivISitaH, ajijiSitaH, vevIyitaH-tam-tavAn, ajaH, [[A. ‘akarjito'sau harikharjanotkadhIH ajatpazubrAtamajena tejitam’ dhA-kA-1-31.]] ajA, [[3. ‘ajAdyataSTAp’ (4-1-4) iti TAp]] AjiH, [[4. ‘ajyatibhyAm--pAde ca’ (4-131) ityauNAdikaH iN pratyayaH|]] padAjiH, [[4. ‘ajyatibhyAm--pAde ca’ (4-131) ityauNAdikaH iN pratyayaH|]] vivISuH, vivAyayiSuH, ajijiSuH, AjijayiSuH, vebIya;\n\n  [pRSTham0009+ 39] vetavyam-ajitavyam, vAyayitavyam, vivISitavyam, ajijiSitavyam, vevIyitavyam;\n\n  vayanIyam, vAyanIyam, vivISaNIyam, ajijiSaNIyam, vevIyanIyam;\n\n  veyam, vAyyam, vivISyam, ajijiSyam, vevIyyam;\n\n  ISadvayaH, durvayaH, suvayaH;\n\n  vIyamAnaH, vAyyamAnaH, vivISyamANaH, ajijiSyamANaH;\n\n  vevIyyamAnaH;\n\n  [[1. ‘samudorajaH pazuSu’ (3-3-69) ityapU|]] samajaH, [[1A ‘ajivrajyozca’ (7-3-60) iti kutvaM na bhavati| ‘pazUnAM samajo 'nyeSAM samAjo'tha sadharmiNAm’ iti amarakozaH|]] samAjaH [[B. ‘guhAdvAreNa niryAtaH samajena pazUniva’ bhaTTikAvye-7-59.]], udAjaH, -vAyaH, vAta [[C. ‘meghAtyayopAttavanopazobhaM kadambakaM vAtamajaM mRgANAm’ bha-kA-2-17.]] majA [[2. ‘vAtazunItilazargheSu ajadheTjahAtInAM’ (vA. 3-2-28) iti khaz| mum| sArvadhAtukatvAnna vIbhAvaH|]] H (mRgAH), vyajaH [[3. ‘gocarasaMcaravahavrajavyaja-’ (3-3-119) iti ghAnto nipAtitaH|]], vyAjaH [[D. ‘nirvyAjamijyA vavRte vacazca bhUyo babhASe muninA kumAraH’ bha-kA-2-37.]];\n\n  vetum, ajitum, vAyayitum, vivISitum, ajijiSitum, vevIyitum;\n\n  vItiH, aktiH, [[4. ‘saMjJAyAM samaja-’ (3-3-99) iti striyAM kyap| nipAtanAt vIbhAvo na|]] samajyA, vAyanA, vivISA, vivAyayiSA, ajijiSA, AjijayiSA, vevIyA;\n\n  pravayaNam [[5. ‘vA yau’ (2-4-57) iti vIbhAvo vA|]] -prAjanam, vAyanam, vivISaNam, ajijiSaNam, vevIyanam;\n\n  vItvA, ajitvA, vAyayitvA, vivISitvA, ajijiSitvA, vevIyitvA;\n\n  pravIya, prAjya, pravAyya, pravivISya, prAjijiSya, pravevIyya;\n\n  vAyam 2, vItvA 2, ajitvA 2, vAyam 2 vAyayitvA 2, vivISam 2, vivISitvA 2, ajijiSam 2, ajijiSitvA 2, vevIyam 2, vevIyitvA 2;\n\n  auNAdike = ajinam [[6. ajinam = carma| ajati-vIyate vA tat-karma, kartA vA| ina pratyayaH|]] -ajiram [[7. ajiram = vezma| ajantyasmin ityadhikaraNe kira pratyayaH|]];\n\n  [pRSTham0010+ 27]
aji	(10) {@‘aji bhASArthaH’@} (10-curAdiH 1786-saka. seT. ubha.) aJjakaH-JjikA, vyaJjakaH, aJjijayiSakaH-SikA;\n\n  aJjayitA-trI, aJjijayiSitA-trI;\n\n  aJjayan-ntI, aJjijayiSan-ntI;\n\n  aJjayiSyan-tI-ntI, aJjijayiSiSyan-tI-ntI;\n\n  aJjayamAnaH, aJjijayiSamANaH;\n\n  aJjayiSyamANaH, aJjijayiSiSyamANaH;\n\n  vyan-vyaJjau-vyaJjaH;\n\n  aJjitam-taH-tavAn, aJjijayiSitaH-tavAn;\n\n  vyaJjaH, aJjijayiSuH;\n\n  aJjayitavyam, aJjijayiSitavyam;\n\n  vyaJjanIyam, aJjijayiSaNIyam;\n\n  aJjyam, aJjijayiSyam;\n\n  ISadaJjaH, duraJjaH, svaJjaH;\n\n  aJjyamAnaH, aJjijayiSyamANaH;\n\n  aJjaH, aJjijayiSaH;\n\n  aJjayitum, aJjijayiSitum;\n\n  aJjanA-vyaJjanA, aJjijayiSA;\n\n  vyaJjanam, aJjijayiSaNam;\n\n  aJjayitvA, aJjijayiSitvA;\n\n  abhivyaJjya, vyaJjijayiSya;\n\n  vyaJjam 2, aJjayitvA 2, aJjijayiSam 2;\n\n  aJjijayiSitvA 2;\n\n 
